..	Pluto and/or with child?
1.	Car and/or with wheel?
2.	Grooming-kit and/or with colour-palette?
3.	Bike and/or with shoe?
4.	Cricket and/or with light?
5.	Internet and/or with search?
6.	Phone and/or with calculator?
7.	Jersey and/or with uniform?
8.	Business and/or with brand?
9.	Travel and/or with drink?
10.	Job and/or with modern?
11.	Bill and/or with art?
12.	Camera and/or with electronic?
13.	Food and/or with vegetable?
14.	Helmet and/or with buffer?
15.	Metal and/or with switch?
16.	Application and/or with spice?
17.	Court and/or with family?
18.	Sleep and/or with rice?
19.	Salary and/or with library?
20.	Board and/or with chalk?
21.	Marriage and/or with invest?
22.	Train and/or with metro?
23.	Century and/or with decade?
24.	Radio and/or with modem?
25.	Tattoo and/or with wristband?
26.	Function and/or with hair?
::.	Connect and/or with enemy?